PDF File,Audio URL,audio_flag,investor_file_link_flag,Original Audio,Sped Audio,Transcript
532783_29072025064432_intimation.pdf,https://ltfoods.com/ltfoodscms/uploads/investors/concallaudiolink/concallaudiolink_1753720823.mp3,True,True,/mnt/c/0.sripathi/project/ocean/eldorado/02.audio/audio_files/532783_29072025064432_intimation.mp3,/mnt/c/0.sripathi/project/ocean/eldorado/02.audio/sped_audio_files/532783_29072025064432_intimation.mp3,/mnt/c/0.sripathi/project/ocean/eldorado/01.text/transcripts/532783_29072025064432_intimation.txt
CGPOWER_24072025205338_IntimationofRecording_InvestorCall_Q1_2025_26.pdf,https://www.cgglobal.com/admin/uploads/10034347.mp3,True,True,Failed,Failed,No transcript
DELAPLEX_28072025180455_Delaplex_Post_Initimation_signed.pdf,,False,True,No audio,No audio,No transcript
DIXON_27072025224925_Intimation27072025.pdf,,False,True,No audio,No audio,No transcript
GODIGITGI_28072025215042_Audio_Call_Recording_Investor_Call_Q1FY2025-26.pdf,https://www.godigit.com/content/dam/godigit/general/investor-relations/investor-call-recordings/earnings-call-audio-recording-q1-fy-2025-26.mp3,True,True,/mnt/c/0.sripathi/project/ocean/eldorado/02.audio/audio_files/GODIGITGI_28072025215042_Audio_Call_Recording_Investor_Call_Q1FY2025-26.mp3,/mnt/c/0.sripathi/project/ocean/eldorado/02.audio/sped_audio_files/GODIGITGI_28072025215042_Audio_Call_Recording_Investor_Call_Q1FY2025-26.mp3,/mnt/c/0.sripathi/project/ocean/eldorado/01.text/transcripts/GODIGITGI_28072025215042_Audio_Call_Recording_Investor_Call_Q1FY2025-26.txt
IDFCFIRSTB_27072025154451_IDFCFIRSTB_Earnings_Call_Audio_Replay_Q1FY26.pdf,https://www.idfcfirstbank.com/content/dam/idfcfirstbank/pdf/financial-results/10033962.mp3,True,True,/mnt/c/0.sripathi/project/ocean/eldorado/02.audio/audio_files/IDFCFIRSTB_27072025154451_IDFCFIRSTB_Earnings_Call_Audio_Replay_Q1FY26.mp3,/mnt/c/0.sripathi/project/ocean/eldorado/02.audio/sped_audio_files/IDFCFIRSTB_27072025154451_IDFCFIRSTB_Earnings_Call_Audio_Replay_Q1FY26.mp3,/mnt/c/0.sripathi/project/ocean/eldorado/01.text/transcripts/IDFCFIRSTB_27072025154451_IDFCFIRSTB_Earnings_Call_Audio_Replay_Q1FY26.txt
INDUSINDBK3_28072025225557_Audio_Recording_of_Earnings_Call.pdf,/content/dam/indusind-corporate/investors/QuarterFinancialResults/FY2025-2026/Quarter1/10034369.mp3,True,True,Failed,Failed,No transcript
INTELLECT_26072025160255_267.pdf,https://www.youtube.com/embed/lo0xwyJOtSk?si=AKXlPgpO06mFnEAS,True,True,/mnt/c/0.sripathi/project/ocean/eldorado/02.audio/audio_files/INTELLECT_26072025160255_267,,No transcript
IXIGO_27072025123653_Announcement_Reg_30_Schedule_of_Analyst_Investor_Meeting_30072025.pdf,www.ixigo.com,False,False,No audio,No audio,No transcript
PARAGMILK_27072025222436_CovletterTranscriptECJul222025.pdf,www.paragmilkfoods.com,False,False,No audio,No audio,No transcript
RECLTD_28072025222035_signed_Intimation_InvestorCall.pdf,www.recindia.nic.in,False,False,No audio,No audio,No transcript
rsrai_28072025223611_ABCL_SE_Analystmeetsigned.pdf,www.adityabirlacapital.com,False,False,No audio,No audio,No transcript
SOBHA_26072025222024_Audio-recording-of-Conference-Call-for-the-quarter-ended-30-June-2025.pdf,https://www.sobha.com/wp-content/uploads/2025/07/10034429.mp3,True,True,/mnt/c/0.sripathi/project/ocean/eldorado/02.audio/audio_files/SOBHA_26072025222024_Audio-recording-of-Conference-Call-for-the-quarter-ended-30-June-2025.mp3,/mnt/c/0.sripathi/project/ocean/eldorado/02.audio/sped_audio_files/SOBHA_26072025222024_Audio-recording-of-Conference-Call-for-the-quarter-ended-30-June-2025.mp3,/mnt/c/0.sripathi/project/ocean/eldorado/01.text/transcripts/SOBHA_26072025222024_Audio-recording-of-Conference-Call-for-the-quarter-ended-30-June-2025.txt
TANLA_28072025215759_TPL_EarningsCall_Transcript_dt25072025SIGNED.pdf,https://tanlanewwebsite.blob.core.windows.net/resources/media/images/Investor/investor-updateq1fy26.pdf,True,True,No audio,No audio,No transcript
